uuid,server_uuid,actor,last_updated_timestamp,state,process_id,additional_info
9895369398,62dab8f8-4728-4d83-a3d1-e8fa32cc69f2,toanngosy,2024-07-11 09:49:49,2,595465,done
9895369398,62dab8f8-4728-4d83-a3d1-e8fa32cc69f2,toanngosy,2024-07-11 09:48:11,1,595465,running
9895369398,62dab8f8-4728-4d83-a3d1-e8fa32cc69f2,toanngosy,2024-07-11 09:48:09,0,,pending
9895065067,77b166c2-c24f-4eac-961c-28a722c5753c,toanngosy,2024-07-11 09:44:13,3,594876.0,report/rocky/REPORT_9895065067_77b166c2-c24f-4eac-961c-28a722c5753c.log
9895065067,77b166c2-c24f-4eac-961c-28a722c5753c,toanngosy,2024-07-11 09:44:10,2,594876.0,done
9895065067,77b166c2-c24f-4eac-961c-28a722c5753c,toanngosy,2024-07-11 09:42:34,1,594876.0,running
9895065067,77b166c2-c24f-4eac-961c-28a722c5753c,toanngosy,2024-07-11 09:42:32,0,,pending
9895282688,9f6476fa-cb37-449c-9006-1c78a460fd63,toanngosy,2024-07-11 09:42:29,3,594408.0,report/rocky/REPORT_9895282688_9f6476fa-cb37-449c-9006-1c78a460fd63.log
9895282688,9f6476fa-cb37-449c-9006-1c78a460fd63,toanngosy,2024-07-11 09:42:26,2,594408.0,done
9895282688,9f6476fa-cb37-449c-9006-1c78a460fd63,toanngosy,2024-07-11 09:40:51,1,594408.0,running
9895282688,9f6476fa-cb37-449c-9006-1c78a460fd63,toanngosy,2024-07-11 09:40:50,0,,pending
